,Name,Fund,CIK,Personal Net Worth,Description
1,Warren Buffett,Berskshire Hathaway Inc,0001067983 ,"$71,500,000,000",Invest like the oracle himself! View the stocks that Warren Buffett holds in the Berkshire Hathaway portfolio.
2,Carl Icahn,Icahn Enterprises,0000921669,"$14,200,000,000","With a net worth of over $16 billion, Icahn is the founder and manager of Icahn Enterprises. Icahn has developed a reputation as a corporate raider."
3,David Einhorn,Greenlight Capital Inc,0001079114,"$1,500,000,000","Einhorn fund has generated an annualized return of 16.5% from 1996 to 2016. His firm, Greenlight Capital, now manages over $9 billion."
4,Nelson Peltz,"Trian Fund Management, L.P.",0001345471,"$1,500,000,000",Nelson Peltz is the activist investor leading Trian Fund Management.
5,Bruce Berkowitz,Fairholme Capital Management LLC,0001056831,"$920,000,000","In 2009, he was named the DS Fund Manager of the Decade by Morningstar, Inc."
6,George Soros,Soros Fund Management LLC,0001029160,"$8,300,000,000","With an estimated net worth of over $25 billion, Soros is considered by some to be one of the most successful investors in the world."
7,David Tepper,Appaloosa Management LP,0001006438,"$12,000,000,000",In 2017 Forbes listed Tepper as one of the 25 highest-earning hedge fund managers. He's the founder of Appaloosa Management.
8,Bill Ackman,"Pershing Square Capital Management, L.P.",0001336528,"$1,500,000,000",Ackman is the founder of Pershing Square Capital Management. Ackman a known contrarian investor also he considers himself an activist investor.
9,Chase Coleman III,Tiger Global Management LLC,0001167483,"$4,500,000,000",Chase Coleman is the investor leading Tiger Global Management.
10,Larry Robbins,"Glenview Capital Management, LLC",0001138995,"$1,900,000,000",Larry Robbins is the investor leading Glenview Capital Management.
11,Daniel Loeb,Third Point LLC,0001040273,"$2,800,000,000",Daniel Loeb is the activist investor leading Third Point.
12,Tom Steyer,"Farallon Capital Management, LLC",0000909661,"$1,600,000,000","Farallon Capital Management LLC is an American investment firm that manages capital on behalf of institutions and individuals. The firm was founded in 1986 by Tom Steyer, an American billionaire hedge fund manager."
13,Charles Munger,Berskshire Hathaway Inc,0001067983 ,"$1,600,000,000","Charles Munger is a billionaire investor, businessman, author, and philanthropist. He is most well-known for his vice chairmanship of Berkshire Hathaway, the giant led by Warren Buffett."
14,Stephen Mandel Jr,Lone Pine Capital LLC,0001061165,"$2,800,000,000","Stephen Mandel is the president and portfolio manager of Lone Pine Capital. Lone Pine Capital was established in 1997 as an hedge fund, based in Greenwich, Connecticut."
15,Julian Robertson Jr,Tiger Global Management LLC (no longer with),0001167483,"$4,400,000,000","Julian Robertson founded Tiger Management, also known as 'The Tiger Fund'. Tiger Management is a family office and hedge fund that began investing in 1980 and was closed to outside investors in March 2000."
16,Jim Simons,Renaissance Technologies LLC,0001037389,"$21,600,000,000",https://www.bloomberg.com/profile/company/19889Z:US
17,Ray Dalio,"Bridgewater Associates, LP",0001350694,"$18,000,000,000",https://www.bloomberg.com/profile/person/1801626
18,Stephen Schwarzman,Blackstone Group Inc,0001393818,"$16,700,000,000",https://www.bloomberg.com/profile/person/1404170
19,Steve Cohen,"Point72 Asset Management, L.P.",0001603466,"$14,000,000,000",https://www.bloomberg.com/profile/company/1396018D:US
20,Kenneth Griffin,Citadel Advisors LLC,0001423053,"$12,300,000,000",https://www.bloomberg.com/profile/company/3832212Z:US
21,Philip Anschutz,Anschutz Entertainment Group,0001345940,"$11,400,000,000",His Anschutz Entertainment Group operates more than 100 arenas and concert venues worldwide.
22,David Shaw,"D.E. Shaw & Co, L.P.",0001009268,"$7,300,000,000","A former computer science professor at Columbia University, David Shaw is the founder of D.E. Shaw, which manages over $50 billion in assets"
