id,name,symbol,sector,industry
0,Unknown,unknown,"",""
1,Autodesk Inc.,ADSK,INFORMATION TECHNOLOGY,SOFTWARE
2,Akorn Inc.,AKRX,HEALTH CARE,PHARMACEUTICALS
4,CF Industries Holdings Inc,CF,MATERIALS,CHEMICALS
5,Crocs Inc,CROX,CONSUMER DISCRETIONARY,APPAREL & LUXURY GOODS
6,Centillum Communications Inc.,CTLM,INFORMATION TECHNOLOGY,SEMICONDUCTORS
7,Dell Inc.,DELL,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
8,Focus Enhancements Inc.,FCSE,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
9,Flowserve Corporation,FLS,INDUSTRIALS,MACHINERY
10,Gametech International Inc,GMTCQ,CONSUMER DISCRETIONARY,LEISURE GOODS
11,Hornbeck Offshore Services Inc,HOSS,ENERGY,ENERGY EQUIPMENT & SERVICES
12,Hexcel Corp,HXL,INDUSTRIALS,AEROSPACE & DEFENSE
14,Jazz Technologies Inc,JAZ,INFORMATION TECHNOLOGY,SEMICONDUCTORS
15,McDermott International Inc,MDR,ENERGY,ENERGY EQUIPMENT & SERVICES
16,Monsanto Co. (New),MON,MATERIALS,CHEMICALS
17,National Oilwell Varco Inc.,NOV,ENERGY,ENERGY EQUIPMENT & SERVICES
18,Opnext Inc,OPXT,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
19,Orbital Sciences Corp,ORB,INDUSTRIALS,INDUSTRIALS
20,Oracle Corp,ORCL,INFORMATION TECHNOLOGY,SOFTWARE
21,Blackberry Ltd,BB,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
23,Western Union Co (The),WU,FINANCE,CONSUMER FINANCE
24,Acusphere Inc.,ACUS,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
26,F5 Networks Inc,FFIV,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
27,Hollywood Media Corp,NSTM,COMMUNICATIONS,ADVERTISING
29,JAZZ TECH INC WTS,JAZ-WT,"",""
